SUPPLIER,TOTAL RETAIL SALES,TOTAL RETAIL TRANSFERS,TOTAL WAREHOUSE SALES,SUM
Vinifera Distributing Of Maryland Inc,0.42,0.0,0.0,0.42
A Hardy Usa Ltd,0.4,0.0,0.0,0.4
White Rock Distillers Inc,0.32,0.0,0.0,0.32
Borvin Beverage,0.32,0.0,0.0,0.32
Volubilis Imports Inc,0.24,0.0,0.0,0.24
Uruguay Imports Ltd,0.24,0.0,0.0,0.24
Gator Ron'S Llc,0.17,0.0,0.0,0.17
Fiore Winery,0.16,0.0,0.0,0.16
Pacific Rim Winemakers,0.0,0.0,0.0,0.0
Freelance Wines Llc,0.0,0.0,0.0,0.0
